"scientific_name","longitude","latitude","group"
"background",-6.75,44.25,1
"background",8.25,43.75,2
"background",-2.25,48.75,3
"background",-7.25,41.75,1
"background",14.25,46.75,4
"background",1.25,42.75,2
"background",-5.75,39.25,1
"background",12.75,37.75,2
"background",-3.25,47.25,3
"background",2.75,43.25,2
"background",18.25,47.75,4
"background",24.75,39.75,2
"background",-7.25,37.25,1
"background",22.25,44.75,2
"background",9.25,45.75,2
"background",-4.75,37.75,1
"background",20.75,44.75,2
"background",4.25,50.75,3
"background",-6.25,40.25,1
"background",22.75,37.25,2
"background",-4.75,45.75,1
"background",11.75,52.25,4
"background",-2.25,49.25,3
